timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2022-06-19,32.01000000,35.40000000,28.68000000,34.19000000,9253122.78000000,2022-06-19 23:59:59.999,294048592.26790000,592879,4564396.00000000,145353097.57340000,0
2022-06-20,34.19000000,36.90000000,31.73000000,35.24000000,8218146.80000000,2022-06-20 23:59:59.999,281820809.89790000,564975,4105638.47000000,140943448.85750000,0
2022-06-21,35.25000000,39.19000000,34.20000000,36.42000000,7429098.76000000,2022-06-21 23:59:59.999,275003273.08880000,524268,3705269.01000000,137254055.63030000,0
2022-06-22,36.42000000,36.87000000,33.65000000,34.12000000,6494707.01000000,2022-06-22 23:59:59.999,227729988.51660000,407107,3259381.95000000,114343205.92080000,0
2022-06-23,34.13000000,38.65000000,33.91000000,38.15000000,7002610.45000000,2022-06-23 23:59:59.999,257121431.15570000,443012,3602472.49000000,132276229.55380000,0
2022-06-24,38.15000000,42.92000000,37.67000000,41.91000000,6583046.23000000,2022-06-24 23:59:59.999,263461013.46660000,463015,3266628.64000000,130693448.58640000,0
2022-06-25,41.91000000,42.64000000,39.73000000,42.22000000,4294211.07000000,2022-06-25 23:59:59.999,177460350.60680000,334804,2090890.07000000,86415136.34520000,0
2022-06-26,42.22000000,42.49000000,39.14000000,39.39000000,4024143.84000000,2022-06-26 23:59:59.999,164663443.91170000,308030,1885381.29000000,77188468.59970000,0
2022-06-27,39.39000000,41.25000000,37.90000000,38.52000000,4172937.40000000,2022-06-27 23:59:59.999,164427982.22660000,289594,2035849.08000000,80247519.65670000,0
2022-06-28,38.50000000,39.90000000,35.02000000,35.35000000,5581335.85000000,2022-06-28 23:59:59.999,209748465.29870000,361164,2750704.20000000,103481792.18720000,0
2022-06-29,35.34000000,36.12000000,33.10000000,34.05000000,5755278.44000000,2022-06-29 23:59:59.999,199587272.30070000,362853,2854587.08000000,99023547.02420000,0
2022-06-30,34.06000000,34.20000000,30.92000000,33.76000000,5337105.46000000,2022-06-30 23:59:59.999,171919474.35340000,344452,2679028.50000000,86322445.54320000,0
2022-07-01,33.76000000,35.40000000,31.82000000,32.84000000,6155756.76000000,2022-07-01 23:59:59.999,204979216.49370000,368256,2978243.67000000,99231819.31720000,0
2022-07-02,32.85000000,34.14000000,31.87000000,33.36000000,2740500.19000000,2022-07-02 23:59:59.999,90108872.26280000,183520,1360450.68000000,44764081.70360000,0
2022-07-03,33.36000000,33.77000000,32.14000000,33.39000000,2394572.39000000,2022-07-03 23:59:59.999,78904888.13080000,154731,1189039.63000000,39209139.27840000,0
2022-07-04,33.40000000,36.94000000,32.45000000,36.71000000,4064615.13000000,2022-07-04 23:59:59.999,140036013.56780000,246563,2059932.84000000,70983921.02150000,0
2022-07-05,36.71000000,36.99000000,33.03000000,35.40000000,6098472.04000000,2022-07-05 23:59:59.999,213296068.66330000,352757,2941943.03000000,102867920.28700000,0
2022-07-06,35.41000000,37.65000000,34.80000000,37.04000000,5298552.90000000,2022-07-06 23:59:59.999,190911989.17680000,333851,2579302.86000000,93001746.05640000,0
2022-07-07,37.04000000,39.29000000,36.39000000,38.46000000,4091777.28000000,2022-07-07 23:59:59.999,154787628.75830000,262606,2020439.66000000,76457135.82460000,0
2022-07-08,38.46000000,39.72000000,36.46000000,38.12000000,5277992.76000000,2022-07-08 23:59:59.999,200786736.77890000,354548,2745120.40000000,104521147.09540000,0
2022-07-09,38.12000000,38.95000000,37.77000000,38.06000000,2088073.86000000,2022-07-09 23:59:59.999,80090467.88860000,145253,1033158.37000000,39643187.03520000,0
2022-07-10,38.06000000,38.14000000,36.26000000,36.71000000,2181587.60000000,2022-07-10 23:59:59.999,80772185.72840000,148125,1082289.56000000,40063939.71260000,0
2022-07-11,36.71000000,36.73000000,33.24000000,33.42000000,2927967.37000000,2022-07-11 23:59:59.999,102666563.30430000,204049,1387777.29000000,48699082.04450000,0
2022-07-12,33.42000000,34.61000000,32.60000000,32.68000000,3202970.40000000,2022-07-12 23:59:59.999,107886665.71600000,204957,1596769.50000000,53809820.51190000,0
2022-07-13,32.69000000,35.08000000,31.82000000,34.94000000,4798032.13000000,2022-07-13 23:59:59.999,159907054.00990000,275893,2380869.71000000,79382021.25950000,0
2022-07-14,34.94000000,37.31000000,33.58000000,37.15000000,5214767.02000000,2022-07-14 23:59:59.999,183611446.56670000,275359,2663220.30000000,93813233.08550000,0
2022-07-15,37.14000000,39.10000000,36.49000000,37.36000000,4440629.04000000,2022-07-15 23:59:59.999,167467008.23130000,281361,2166717.26000000,81763464.19600000,0
2022-07-16,37.36000000,40.41000000,36.35000000,39.58000000,3945225.20000000,2022-07-16 23:59:59.999,152184601.37860000,259342,2010017.92000000,77636093.44320000,0
2022-07-17,39.59000000,41.09000000,38.29000000,38.62000000,3795951.41000000,2022-07-17 23:59:59.999,150590859.71780000,253441,1952168.69000000,77493203.13890000,0
2022-07-18,38.61000000,44.07000000,38.55000000,43.52000000,6300282.95000000,2022-07-18 23:59:59.999,261136738.34400000,446880,3226523.54000000,133789592.69760000,0
2022-07-19,43.52000000,47.36000000,42.54000000,44.87000000,7876651.82000000,2022-07-19 23:59:59.999,355431156.76720000,674599,3975229.96000000,179362547.57820000,0
2022-07-20,44.87000000,46.30000000,41.24000000,42.04000000,6380441.74000000,2022-07-20 23:59:59.999,282469604.68100000,477417,3162290.15000000,140148406.17860000,0
2022-07-21,42.03000000,44.24000000,39.64000000,43.11000000,6134099.29000000,2022-07-21 23:59:59.999,256606729.25110000,428346,3109667.20000000,130164754.91320000,0
2022-07-22,43.10000000,44.33000000,40.03000000,40.54000000,4495729.55000000,2022-07-22 23:59:59.999,190642884.61410000,328365,2210134.82000000,93787089.31670000,0
2022-07-23,40.54000000,41.91000000,38.60000000,39.97000000,3421971.49000000,2022-07-23 23:59:59.999,137541597.56610000,249647,1661145.37000000,66809047.75200000,0
2022-07-24,39.97000000,42.10000000,39.47000000,40.93000000,3327219.47000000,2022-07-24 23:59:59.999,135780064.98870000,227835,1682849.04000000,68687367.95740000,0
2022-07-25,40.93000000,41.09000000,36.56000000,36.65000000,4237919.99000000,2022-07-25 23:59:59.999,163307551.86790000,308984,2041957.85000000,78707760.60660000,0
2022-07-26,36.66000000,36.84000000,34.67000000,36.25000000,4496178.57000000,2022-07-26 23:59:59.999,160614557.47500000,324317,2166360.25000000,77380053.89080000,0
2022-07-27,36.26000000,40.55000000,35.68000000,40.23000000,5860676.17000000,2022-07-27 23:59:59.999,223453249.40090000,388367,3107731.01000000,118583598.29020000,0
2022-07-28,40.23000000,44.15000000,39.03000000,42.91000000,6754342.15000000,2022-07-28 23:59:59.999,276873228.49900000,450997,3459303.00000000,141823091.55280000,0
2022-07-29,42.92000000,44.42000000,41.13000000,41.91000000,4949319.15000000,2022-07-29 23:59:59.999,210837990.90070000,385431,2378964.72000000,101337392.45630000,0
2022-07-30,41.92000000,46.65000000,41.41000000,43.84000000,5388479.30000000,2022-07-30 23:59:59.999,237288804.56910000,403313,2643134.79000000,116261528.97470000,0
